Stamm;Art;Protein;FimH-Variante;measure 1;measure 1_2;measure 2;measure 2_2;measure 3;measure 3_2;measure 4;measure 4_2;measure 5;measure 5_2;Median
5540;HFEC;Ho4;8;24649;20523;16540;10558;9218;15235;16364;15234;20186;22584;16452
5543;HFEC;Ho4;2;16304;19240;18081;17672;15406;17707;68790;70538;17169;18958;17894
5551;HFEC;Ho4;;1995;2079;2263;1896;2496;1671;878;2077;1664;1617;1946
5554;HFEC;Ho4;8;16825;16473;29504;28964;15807;14818;33506;33301;16312;18494;17660
5631;Mensch EPEC;Ho4;2;19131;21449;25887;25102;22254;23364;77966;76272;28030;29506;25495
5651;Mensch EPEC;Ho4;8;21945;21325;23862;24674;11531;11490;42867;49500;17959;18717;21635
5695;Mensch ETEC;Ho4;9;18712;17300;12419;13132;11371;14315;23027;30688;13553;17932;15808
5696;Mensch ETEC;Ho4;9;22029;19232;10675;11556;10013;10613;1897;3378;1584;3712;10313
5981;Schwein EPEC;Ho4;2;35144;35329;46154;45658;19435;18402;71450;72908;26093;26276;35237
5984;Schwein EPEC;Ho4;2;35361;36496;36791;35854;23886;23517;54931;61084;19819;20983;35608
5990;Schwein EPEC;Ho4;2;21679;27009;22749;23002;21499;22480;65634;66516;25115;25459;24059
5995;Schwein EPEC;Ho4;7;49921;50941;34143;35518;27725;28134;59159;65334;23319;23836;34831
5999;Schwein EPEC;Ho4;2;51088;50704;29152;29794;24399;25063;77342;68135;23334;23965;29473
6586;Rind Kommensale;Ho4;1;23933;24226;22680;22656;25432;28384;31797;22527;13404;14316;23307
6592;Rind Kommensale;Ho4;2;23683;24661;22722;24218;20394;20339;42614;42379;17365;15970;23203
6604;Rind Kommensale;Ho4;2;74662;82288;26980;25590;27200;27168;60207;66835;23056;22943;27184
7503;Rind EPEC;Ho4;1;20471;17915;15205;21343;7413;12446;22217;21977;13476;13595;16560
7504;Rind ETEC;Ho4;9;272;755;2570;594;282;2092;7982;6808;12723;15083;2331
7505;Rind EPEC;Ho4;2;19908;20661;28188;27410;29749;35634;23654;22668;18999;19306;23161
7507;Rind EPEC;Ho4;1;21548;33073;34857;36525;29529;29100;35099;33331;18762;17395;31301
7508;Rind ETEC;Ho4;9;50684;44764;13726;17642;15933;12409;35780;54369;20342;19252;19797
7511;Rind ETEC;Ho4;9;9698;1867;5052;8811;3353;6085;16317;14013;7967;6902;7435
7514;Rind EPEC;Ho4;1;14955;13213;16052;16639;14558;14866;28263;19653;18940;18273;16346
7515;Rind ETEC;Ho4;9;2177;1460;3155;4119;8797;15255;11366;9778;14229;15745;9288
7516;Rind EPEC;Ho4;1;8416;8470;13850;14724;11755;9899;18296;17875;15482;14160;14005
7517;Rind ETEC;Ho4;9;31473;35557;42185;43985;34596;29026;54092;57671;17649;17944;35077
7522;Rind ETEC;Ho4;9;42671;29115;48422;41452;13692;14258;44043;46745;13870;15752;35284
7524;Rind EPEC;Ho4;2;95938;97714;22487;22640;18846;18147;65845;54768;26521;27094;26808
7525;Rind ETEC;Ho4;9;21602;28479;6199;5597;24835;22621;18734;25833;7863;7737;20168
7526;Rind ETEC;Ho4;9;3105;6672;10979;10635;4792;7881;13689;16933;3222;3152;7277
7528;Rind EPEC;Ho4;1;19165;18145;16280;16223;8069;9132;28464;18665;9562;8582;16252
7533;Rind EPEC;Ho4;2;27005;27346;20676;21184;18759;19049;19205;16765;27874;26207;20930
7534;Rind ETEC;Ho4;9;24146;24605;21251;22363;21301;31624;37353;38435;17350;16896;23255
7542;Schwein ETEC;Ho4;;11;14;6;6;19;29;9;14;11;2;11
7554;Schwein ETEC;Ho4;2;14732;17204;18437;14316;16057;16627;53344;51645;13231;7291;16342
7555;Rind EPEC;Ho4;15;35701;30980;33895;33264;11509;10885;59655;51323;19492;16567;32122
7551;Schwein ETEC;Ho4;1;94;71;29;34;20314;24599;9;11;0;4;32
91;Schwein Kommensale;Su1;1;13290;13268;13441;12404;7630;7113;22804;24129;11641;9379;12836
4136;Schwein Kommensale;Su1;4;21275;16825;20391;21947;19958;20052;37494;59900;21429;20644;20960
4310;Schwein Kommensale;Su1;6;1899;4785;34;56;23;33;79;856;143;61;70
4315;Schwein Kommensale;Su1;29;11296;11410;11752;12666;21676;18608;10801;12391;2372;2637;11581
4444;Schwein Kommensale;Su1;;10675;13632;9117;10251;3777;4720;14528;17432;12376;15522;11526
4445;Schwein Kommensale;Su1;2;14271;14935;10221;11041;9293;9684;48318;51558;10590;11539;11290
4732;Schwein Kommensale;Su1;2;17868;19393;17275;18006;17340;18271;17285;18883;14117;15140;17604
5282;Mensch EPEC;Su1;2;9511;9585;4299;7026;15973;17573;15594;16803;4495;5684;9548
5540;HFEC;Su1;8;11715;10206;12899;6489;9610;8009;9431;10328;20936;23111;10267
5543;HFEC;Su1;2;16894;17451;16934;17434;13503;16153;62211;63769;17600;20052;17443
5551;HFEC;Su1;;2551;2353;1892;2117;2258;2035;1433;1228;1357;876;1964
5554;HFEC;Su1;8;13060;11636;21568;23651;14103;13830;22115;23339;15923;18578;17251
5631;Mensch EPEC;Su1;2;20989;20726;22878;25915;16334;19150;70251;75339;26621;25714;24296
5651;Mensch EPEC;Su1;8;14286;16711;23024;23906;11715;9981;39280;44063;16500;18303;17507
5695;Mensch ETEC;Su1;9;15103;15262;11376;11566;11334;14338;21243;27515;11383;16384;14721
5696;Mensch ETEC;Su1;9;13365;13862;9215;8597;10293;8406;2444;2791;4002;3224;8502
5981;Schwein EPEC;Su1;2;31951;43458;21513;56465;63073;71315;59496;45819;23393;23252;44639
5984;Schwein EPEC;Su1;2;30710;32109;35723;35857;108103;55232;56182;56121;19393;18301;35790
5990;Schwein EPEC;Su1;2;21167;22641;21335;21699;40556;22573;58558;59365;22598;21466;22586
5995;Schwein EPEC;Su1;7;20483;18912;27874;28181;33450;25050;56755;57493;22452;22058;26462
5999;Schwein EPEC;Su1;2;33100;34864;26945;27775;19577;21570;83792;74846;19098;19136;27360
6586;Rind Kommensale;Su1;1;17565;19606;23639;17919;26774;28223;18200;17734;12163;11321;18060
6592;Rind Kommensale;Su1;2;24282;23921;21338;21719;18135;18967;41690;47682;14348;14732;21529
6604;Rind Kommensale;Su1;2;20845;21271;26051;25078;21595;21560;68891;73246;20743;18244;21578
7503;Rind EPEC;Su1;1;18984;16237;7836;9959;12728;12944;19059;14764;11608;10796;12836
7504;Rind ETEC;Su1;9;829;401;1614;6568;1918;1591;9131;10124;14492;17488;4243
7505;Rind EPEC;Su1;2;20426;20243;21060;21119;36538;35632;22190;22038;18437;17910;21090
7507;Rind EPEC;Su1;1;26732;24758;28023;27515;29375;29600;26586;25333;13503;12755;26659
7508;Rind ETEC;Su1;9;41765;39453;20312;19800;21227;22883;57876;55665;15844;17129;22055
7511;Rind ETEC;Su1;9;14350;10449;5461;4539;9887;7886;16448;19324;7078;6509;8887
7514;Rind EPEC;Su1;1;15707;15346;16493;15604;14608;14610;20198;21355;16906;16354;16031
7515;Rind ETEC;Su1;9;5481;5763;4086;5718;13186;1904;12082;8636;13946;15638;7200
7516;Rind EPEC;Su1;1;7950;8143;12738;12988;11071;10959;20181;18190;12369;11742;12056
7517;Rind ETEC;Su1;9;27765;31805;28464;35912;39495;37078;62793;53638;14174;16210;33859
7522;Rind ETEC;Su1;9;17560;24914;20545;20042;18110;16240;48195;50439;13520;12696;19076
7524;Rind EPEC;Su1;2;20488;22663;20109;21724;14196;15510;43337;30700;22772;22435;22080
7525;Rind ETEC;Su1;9;3105;5278;10489;8607;18878;24721;24429;23460;7383;7370;9548
7526;Rind ETEC;Su1;9;1426;1614;8495;10070;10729;11363;17751;18041;4319;2669;9283
7528;Rind EPEC;Su1;1;14880;14732;14655;15081;12054;11408;15926;13523;7485;7043;14089
7533;Rind EPEC;Su1;2;20280;20498;19002;19914;22232;19445;17585;15673;26207;23304;20097
7534;Rind ETEC;Su1;9;24089;23589;19344;23398;10999;17813;38896;38015;10417;15380;21371
7542;Schwein ETEC;Su1;;34;34;39;24;26;14;46;16;0;0;25
7554;Schwein ETEC;Su1;2;16367;11202;14734;13919;15185;16894;56935;52945;11517;6806;14960
7555;Rind EPEC;Su1;15;25432;16530;26240;32077;11864;11834;53490;53138;15017;12272;20981
7551;Schwein ETEC;Su1;1;19;54;44;59;12483;12304;29;16;4;4;37
91;Schwein Kommensale;Su2;1;10253;11257;10531;10238;6808;6796;21310;27673;8879;11140;10392
4136;Schwein Kommensale;Su2;4;19512;23165;20699;18794;22415;21637;40774;60611;22546;23978;22481
4310;Schwein Kommensale;Su2;6;34432;36906;84;84;1958;2114;21053;27337;20010;39798;20532
4315;Schwein Kommensale;Su2;29;33805;33845;12438;10370;7432;5092;10105;14435;4621;3886;10238
4444;Schwein Kommensale;Su2;;9627;12961;8978;8173;1530;2704;19725;16045;12453;11222;10425
4445;Schwein Kommensale;Su2;2;16567;17984;9850;9387;6313;6471;54907;59184;14853;16228;15541
4732;Schwein Kommensale;Su2;2;28912;31852;19423;18945;14306;15215;13223;19787;20206;21947;19605
5282;Mensch EPEC;Su2;2;6952;8765;8604;8331;16438;13273;16164;16976;9634;8623;9200
5540;HFEC;Su2;8;19718;19586;14979;15665;22851;22707;16064;19700;22207;17276;19643
5543;HFEC;Su2;2;11284;11133;14296;14518;13702;14373;67182;66033;18418;19118;14446
5551;HFEC;Su2;;1017;1272;1129;1520;2072;1277;1104;1042;2424;1882;1275
5554;HFEC;Su2;8;14442;13830;22303;20788;15698;13409;23706;24290;19346;19770;19558
5631;Mensch EPEC;Su2;2;16678;17991;23361;22425;14672;16676;83371;78811;23804;24344;22893
5651;Mensch EPEC;Su2;8;15866;17496;35897;35780;13855;11755;47815;49153;22289;19978;21134
5695;Mensch ETEC;Su2;9;8973;12938;10954;13099;5689;6501;20761;13510;13412;10422;11946
5696;Mensch ETEC;Su2;9;10578;12745;10231;9513;4859;3031;2387;2511;3501;3071;4180
5981;Schwein EPEC;Su2;2;120375;145519;62253;55734;18772;30160;78358;75935;26928;25580;58994
5984;Schwein EPEC;Su2;2;152080;138369;42084;47736;36229;23463;61339;66124;19802;21456;44910
5990;Schwein EPEC;Su2;2;19527;18249;17974;18586;20389;19859;57651;62290;35315;33147;20124
5995;Schwein EPEC;Su2;7;20079;20235;27391;26844;52252;54867;66157;64051;24599;24399;27118
5999;Schwein EPEC;Su2;2;82965;83569;25590;25890;17590;18734;79286;67658;20468;21506;25740
6586;Rind Kommensale;Su2;1;30289;20889;23936;18858;31107;25258;19884;19623;13464;14808;20387
6592;Rind Kommensale;Su2;2;17196;17969;20929;20855;17057;17407;33449;42084;15222;16837;17688
6604;Rind Kommensale;Su2;2;46406;26836;23510;21771;18021;16679;75648;67910;33303;40097;30070
7503;Rind EPEC;Su2;1;47053;42691;21003;24183;17142;19309;16039;20493;16173;14950;19901
7504;Rind ETEC;Su2;9;3910;1695;10323;2776;116;829;10878;9149;16347;16817;6530
7505;Rind EPEC;Su2;2;20468;20548;23986;30309;31168;30522;23002;21841;19579;19074;22422
7507;Rind EPEC;Su2;1;28956;29139;30074;29709;27193;27792;27976;27676;18011;18207;27884
7508;Rind ETEC;Su2;9;146555;142890;16902;15599;13293;16161;37200;37435;23220;21157;22189
7511;Rind ETEC;Su2;9;13003;9463;18796;11467;12059;13397;17843;16889;6288;9047;12531
7514;Rind EPEC;Su2;1;11650;11941;12730;12391;12084;11489;20855;21875;18781;19039;12561
7515;Rind ETEC;Su2;9;2917;1862;7757;5164;3237;14103;14360;12408;20168;15705;10083
7516;Rind EPEC;Su2;1;15834;4299;9783;9823;9116;8973;17580;17152;17130;15678;12751
7517;Rind ETEC;Su2;9;35247;40660;33251;32697;27466;30138;59640;38708;20059;18343;32974
7522;Rind ETEC;Su2;9;32375;34202;42676;45378;18719;20201;44227;46929;20706;17650;33289
