Stamm,Art,prot,FimH-Variante,measure 1,measure 1_2,measure 2,measure 2_2,measure 3,measure 3_2,Median (without negativ)
5998,Schwein EPEC,Bo2,1,955,1025,135,99,13632,14274,938
6586,Rind Kommensale,Bo2,1,20426,24872,19324,24384,21836,17593,21105
6595,Rind Kommensale,Bo2,1,46,49,98,79,21288,19254,36
7501,Rind EPEC,Bo2,1,64381,29648,17749,18331,16243,17008,18028
7503,Rind EPEC,Bo2,1,44936,35915,25135,24984,7095,7603,25048
7506,Rind EPEC,Bo2,1,28617,27901,29058,31069,18489,19802,28233
7507,Rind EPEC,Bo2,1,29221,30326,30148,29801,25925,24513,29485
7509,Rind EPEC,Bo2,1,26321,26329,30418,31168,19800,20032,26299
7514,Rind EPEC,Bo2,1,18571,18819,13275,12438,8963,8629,12725
7516,Rind EPEC,Bo2,1,8763,7673,11527,10705,8901,9498,9068
7528,Rind EPEC,Bo2,1,19096,18558,13724,13300,8133,8220,13381
7551,Schwein ETEC,Bo2,1,39,29,86,94,17573,17984,38
122,Schwein Kommensale,Bo2,2,96,104,212,262,138,138,7
136,Schwein Kommensale,Bo2,2,29667,31569,21818,23371,14905,14940,22463
4297,Schwein Kommensale,Bo2,2,92003,96335,11395,12356,16037,16584,16299
4318,Schwein Kommensale,Bo2,2,31607,31934,33811,62486,27186,25035,31745
4320,Schwein Kommensale,Bo2,2,31248,39860,28820,55021,26222,28055,30008
4401,Schwein Kommensale,Bo2,2,37853,40001,41180,79056,30321,24994,38901
4445,Schwein Kommensale,Bo2,2,20444,19928,10828,9996,9850,9503,10372
4732,Schwein Kommensale,Bo2,2,16892,17454,17729,17095,17471,17806,17423
5200,Mensch ETEC,Bo2,2,104167,98004,19680,16788,21315,20513,20902
5201,Mensch ETEC,Bo2,2,156048,153910,23349,22234,21397,20141,22780
5204,Mensch ETEC,Bo2,2,89182,95280,46696,21798,21333,23133,34903
5205,Mensch ETEC,Bo2,2,26928,27383,71474,71212,68064,69986,68999
5263,Mensch EPEC,Bo2,2,68676,68215,111196,107771,57678,59251,68420
5268,Mensch EPEC,Bo2,2,69312,69768,104618,94316,57785,58656,69514
5281,Mensch EPEC,Bo2,2,16456,16159,8975,9991,8768,7534,9457
5282,Mensch EPEC,Bo2,2,8302,7970,7262,5872,15346,15527,8096
5285,Mensch EPEC,Bo2,2,1953,2142,4416,2593,9520,3806,3160
5289,Mensch EPEC,Bo2,2,34859,34044,25170,25456,13949,14987,25273
5527,HFEC,Bo2,2,46136,68793,28013,27225,9934,11019,27607
5529,HFEC,Bo2,2,38470,45530,31574,28080,17283,19453,29815
5536,HFEC,Bo2,2,41242,40880,34936,37118,21831,21664,36001
5543,HFEC,Bo2,2,19822,22212,11876,12443,13406,12458,12801
5631,Mensch EPEC,Bo2,2,21060,24939,20832,21558,18481,16691,20815
5637,Mensch ETEC,Bo2,2,87619,82070,102230,91797,21278,22819,84819
5638,Mensch ETEC,Bo2,2,69,155,217,9,183,183,38
5652,Mensch EPEC,Bo2,2,94,113,373,237,130,135,1
5655,Mensch EPEC,Bo2,2,99,163,173,272,143,148,24
5680,Mensch ETEC,Bo2,2,32912,34537,15673,17174,31966,37546,32308
5692,Mensch ETEC,Bo2,2,106,128,341,376,165,213,58
5981,Schwein EPEC,Bo2,2,129362,137489,60400,58278,47335,23861,59327
5982,Schwein EPEC,Bo2,2,89276,100087,11680,15079,24444,32788,28604
5983,Schwein EPEC,Bo2,2,126116,61118,13949,14472,21476,18100,19776
5984,Schwein EPEC,Bo2,2,78324,79203,41472,41452,18276,20666,41450
5985,Schwein EPEC,Bo2,2,4683,9028,6157,12956,881,11938,7567
5988,Schwein EPEC,Bo2,2,37363,38851,30705,31263,49321,31012,34287
5989,Schwein EPEC,Bo2,2,133,133,224,306,193,145,38
5990,Schwein EPEC,Bo2,2,22705,23312,18772,18132,32957,39525,22877
5991,Schwein EPEC,Bo2,2,29184,31599,22212,22524,21456,21214,22237
5992,Schwein EPEC,Bo2,2,113,135,331,346,173,185,48
5996,Schwein EPEC,Bo2,2,59,66,99,163,44,84,35
5997,Schwein EPEC,Bo2,2,29650,28697,22663,24055,19876,18610,23319
5999,Schwein EPEC,Bo2,2,29484,28511,25947,24600,20161,20926,25234
6573,Rind Kommensale,Bo2,2,21305,24099,4202,4401,6761,5097,5917
6576,Rind Kommensale,Bo2,2,150950,159762,46448,47208,38646,43624,46816
6583,Rind Kommensale,Bo2,2,4235,4576,11289,10404,14970,16337,10821
6587,Rind Kommensale,Bo2,2,27344,23926,52682,59593,32840,31815,32302
6588,Rind Kommensale,Bo2,2,21325,20746,18553,17909,13010,13144,18100
6589,Rind Kommensale,Bo2,2,19158,17662,21159,21474,13077,13493,18279
6590,Rind Kommensale,Bo2,2,29695,30074,17087,17229,18076,18932,18373
6592,Rind Kommensale,Bo2,2,25987,26519,20007,20971,15965,18214,20358
6593,Rind Kommensale,Bo2,2,27745,27326,16099,16302,17392,17333,17231
6594,Rind Kommensale,Bo2,2,25063,25348,22182,22541,10103,10397,22322
6597,Rind Kommensale,Bo2,2,15232,17620,15002,15487,13513,13065,15077
6602,Rind Kommensale,Bo2,2,20609,20672,15728,15465,12916,12617,15557
6604,Rind Kommensale,Bo2,2,17466,19760,22631,23899,16986,19408,19544
7500,Rind EPEC,Bo2,2,116380,120182,38978,38056,21585,21382,38505
7505,Rind EPEC,Bo2,2,20161,19961,22878,22866,16956,16693,20035
7510,Rind EPEC,Bo2,2,31211,32310,76785,41480,36367,33630,34973
7524,Rind EPEC,Bo2,2,22105,20867,19621,20446,14746,15757,19994
7527,Rind EPEC,Bo2,2,1634,1218,14960,13654,9032,8544,8748
7533,Rind EPEC,Bo2,2,17956,18331,17937,19027,19009,18328,18290
7546,Schwein ETEC,Bo2,2,17788,19374,69892,79056,20711,24612,22622
7549,Schwein ETEC,Bo2,2,150,180,264,304,178,215,66
7550,Schwein ETEC,Bo2,2,11683,11809,6561,4344,13766,15564,11615
7554,Schwein ETEC,Bo2,2,12309,21452,14231,12448,22202,15490,14729
148,Schwein Kommensale,Bo2,3,8490,10063,7021,8121,16862,4524,8174
4298,Schwein Kommensale,Bo2,3,24227,30171,18348,20637,16619,15519,19481
5206,Mensch ETEC,Bo2,3,16079,19046,56252,65351,9248,7940,17537
5288,Mensch ETEC,Bo2,3,7400,13429,5780,6343,17870,16555,10389
5532,HFEC,Bo2,3,13565,12904,1550,1322,2672,4391,3520
4136,Schwein Kommensale,Bo2,4,13037,16272,20718,21345,23351,26688,20979
4374,Schwein Kommensale,Bo2,4,68799,51811,57874,64304,59984,42393,58903
5211,Mensch EPEC,Bo2,4,23691,21932,9318,12072,5364,5580,10683
5267,Mensch EPEC,Bo2,4,32201,32283,31384,29613,28290,28293,30473
5993,Schwein EPEC,Bo2,4,44,49,227,188,130,155,90
6584,Rind Kommensale,Bo2,4,21,21,29,31,26,24,-1
7535,Schwein ETEC,Bo2,4,1223,1324,277,286,958,745,840
7553,Schwein ETEC,Bo2,4,1456,1396,14155,13773,18551,20235,13912
4305,Schwein Kommensale,Bo2,5,33,20,21,24,14,6,9
5202,Mensch ETEC,Bo2,5,0,20,14,21,24,11,5
